,text,sentiment
299,"I couldn't think of a better way to end the film, but a smile on my face, great way to wrap up an amazing film and trilogy!  ",1
300,"I recommend this for EVERYONE who loves film, movies, anything...A Work of Art!  ",1
301,10 out of 10 for both the movie and trilogy.  ,1
303,I think i was one of the people who found this another one of roth's pearls.  ,1
304,"his performance, as awarded, was stunning.  ",1
305,"the story which was told so eloquently by Francis ford Coppola 25 years earlier, really unfolds gradually and leaves room for the characters to develop.  ",1
306,In a most wonderful location lies a story of contrast.  ,1
307,All in all a beautiful directed film from Nicola's roeg wih a sublime cast.  ,1
312,This is such a fun and funny movie.  ,1
313,Highly entertaining at all angles.  ,1
314,"It features an outlandish array of memorable, psychotic but lovable nuts.  ",1
315,"So for our enjoyment we get to see them run around, play games, and be dangerous.  ",1
316,It even has its sweet moments.  ,1
317,The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.  ,1
318,All the characters in this film are tremendously well played.  ,1
319,And I really did find them funny.  ,1
320,This is actually a very smart movie.  ,1
321,There is a brilliant twist ending.  ,1
322,I love it.  ,1
323,"The ending is so, SO perfect... you'll shed a tear.  ",1
324,I am so thrilled after seeing a movie like this.  ,1
325,I will never forget it now.  ,1
326,It is not just a cult... it is a cult CLASSIC.  ,1
341,It is a really good show to watch.  ,1
342,It is very educational for children 1 to 8 years old.  ,1
343,Barney is definitely super DE duper.  ,1
344,is pretty funny.  ,1
345,Babie Bop is very cute.  ,1
346,The kids are very cool too.  ,1
353,I would give this television series a 10 plus if i could.  ,1
354,"The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were so real.  ",1
355,I must say I have taped most of the episodes and i find myself watching them over and over again.  ,1
356,Now you know why I gave it a 10+!  ,1
357,"I don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.  ",1
358,I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.  ,1
359,The things that the four kids get themselves into is absolutely hilarious to watch.  ,1
360,This is one of the best movies out there that shows such strong sibling bond for each other.  ,1
361,"Much more interesting, more action, more suspense, and less of the unneeded controversy.  ",1
362,Everything from acting to cinematography was solid.  ,1
363,Definitely worth checking out.  ,1
364,Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen.  ,1
365,This movie has a cutting edge to it.  ,1
366,"I am so pleased to know such a modern day genius is out there , letting is passion for Art drive him and taking us as an audience with him.  ",1
375,"Elias Koteas,Jack Palance play good roles Angelina is hot and gets naked.Billy Drago appears in this and is cool as usual + a cameo by Sven ole Thorsen helps make this a very enjoyable movie with good acting and a decent budget.  ",1
376,This was such an awesome movie that i bought it off of Ebay.  ,1
377,"I really loved the story line and the poler bear was kinda cute.But if anyone has a question about Fort Steele, just ask away:)  ",1
382,"I think the most wonderful parts (literally, full of ""wonder"") are the excerpts from his works.  ",1
383,"The sets (especially designed to work with the camera) are amazing....stylized, beautiful and effective.  ",1
384,They could be used as exemplars for any set designer.  ,1
385,The stories were powerful explorations of the nature of man and of art.  ,1
386,"After watching this film, I wanted to learn more about the works of this artist.  ",1
387,"I highly recommend this movie for anyone interested in art, poetry, theater, politics, or Japanese history.  ",1
388,"Here, in The Wind and the Lion, we see a wonderful rendering of America's own Imperial age.  ",1
389,") What makes this story different are the terrific production values - faultless photography, composition and editing - the terrific casting - the underappreciated Brian Keith playing a bully Teddy - and vivid history.  ",1
390,"Though The Wind and the Lion is told largely through the eyes of the son, every member of the family can identify with one of the characters, whether it be Sean Connery's noble brigand, Candace Bergen's feisty heroine, John Huston's wily John Hay or Steve Kanaly's spiffy, radiant, ruthless can-do lieutenant, Roosevelt's ""Big Stick"".  ",1
391,This is high adventure at its best.  ,1
392,"I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.  ",1
393,Having to humour him just to get by and get through the day was so apt.  ,1
394,"(My mother and brother had to do this)When I saw Robert Ryan portraying this type of man, it was a very good imitation of this type of individual, and I was impressed.  ",1
398,Non-linear narration thus many flashbacks and every part are articulated quite well.  ,1
399,The good cinematography also makes her and Monica Bellucci look very beautiful.  ,1
400,A good commentary of today's love and undoubtedly a film worth seeing.  ,1
401,"For people who are first timers in film making, I think they did an excellent job!!  ",1
402,"It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.  ",1
403,It's a feel-good film and that's how I felt when I came out of the cinema!  ,1
404,It has northern humour and positive about the community it represents.  ,1
405,I rather enjoyed it.  ,1
406,I liked it.  ,1
408,It really created a unique feeling though.  ,1
409,Vivian Schilling did an excellent job with the script.  ,1
410,A world better than 95% of the garbage in the theatres today.  ,1
411,Her role was played well.  ,1
412,Not too screamy not to masculine but just right.  ,1
413,The camera really likes her in this movie.  ,1
414,I would have casted her in that role after ready the script.  ,1
415,"As a European, the movie is a nice throwback to my time as a student in the 1980's and the experiences I had living abroad and interacting with other nationalities, although the circumstances were slightly different.  ",1
421,"This movie is excellent!Angel is beautiful and Scamp is adorable!His little yelps when hes scared,and the funniest parts are when:Scamp is caught under the curtain and when Angel and Scamp are singing 'Ive Never Had This Feeling Before'.I totally recommend this movie,its coming out on special edition on June 20.The cover has scamp on a garbage can and Angel underneath the lid.  ",1
422,"I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!  ",1
435,"An interesting premise, and Billy Drago is always good as a dangerous nut-bag (side note: I'd love to see Drago, Stephen McHattie and Lance Hendrikson in a flick together; talk about raging cheekbones!).  ",1
436,"The soundtrack wasn't terrible, either.  ",1
438,"Still, it was the SETS that got a big ""10"" on my ""oy-vey"" scale.  ",1
440,Both do good jobs and are quite amusing.  ,1
443,The last 15 minutes of movie are also not bad as well.  ,1
446,"I like Armand Assante & my cable company's summary sounded interesting, so I watched it, twice already, and probably will again.  ",1
447,I believe the screenwriter did a good job of tying up the loose ends.  ,1
448,My 8/10 score is mostly for the plot.  ,1
449,"I won't say any more - I don't like spoilers, so I don't want to be one, but I believe this film is worth your time.  ",1
467,I was deeply impressed with the character he played.  ,1
468,I knew when I saw the film that more great things were to come from this gifted actor.  ,1
482,"I loved this movie it was a great portrayal of a family who had it's share of ups and down, but in the end they knew that special love they had for each other.  ",1
483,"I have seen many movies starring Jaclyn Smith, but my god this was one of her best, though it came out 12 years ago.  ",1
484,"This movie contained an all-star cast, and what I loved the most was that it opened my eyes to see other actors who I haven't seen before.  ",1
485,"This movie was kind of long in length, but I enjoyed every minute of it.  ",1
486,Overall I rate this movie a 10 out of a 1-10 scale.  ,1
487,"Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.  ",1
490,"Totally different, with loads of understatement and black comedy, this is a film few get to see, but those who do will remember it.  ",1
491,"This movie creates its own universe, and is fascinating in every way.  ",1
492,But this movie really got to me.  ,1
493,See it.  ,1
494,"I really hope the team behind this movie makes more movies, and that they will continue to do so in their own, some kinda weird style.  ",1
495,"And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn't understand where he is, what he is doing and why.  ",1
496,This movie is a good and humorous comment on life in 2006.  ,1
497,"I found this move beautiful, enjoyable, and uplifting.  ",1
498,"Initially the local sites in the film, which was filmed here in Buffalo, intrigued me.  ",1
499,Later I found myself lost in the power of the film.  ,1
500,The entire audience applauded at the conclusion of the film.  ,1
501,"I left the theater with a lilt in my step, joy in my heart and hope for the human race.  ",1
502,Duris has a wholesome appearance and gives a fine performance.  ,1
503,The rest of the cast also play well.  ,1
504,Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.  ,1
511,The cast is good.  ,1
512,"For that, it's worth checking out.  ",1
531,the cast was great.  ,1
532,"steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy.  ",1
533,add betty white and jean smart and you have a great cast - everyone played their parts really well.  ,1
540,STEAMBOAT WILLIE is an amazingly important film to our cinema history.  ,1
541,This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  ,1
542,"While you don't yet hear Mickey speak, there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.  ",1
543,"However, after seeing the short again after about 25 years, I was amazed at how timeless the film actually is.  ",1
544,"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.  ",1
545,Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  ,1
548,The original Body and Soul (1947) is a masterpiece.  ,1
549,"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.  ",1
569,"Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.  ",1
570,"Gotta love those close-ups of slimy, drooling teeth!  ",1
577,The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  ,1
592,"Being a 90's child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.  ",1
593,"But ""Tiny Toons"" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.  ",1
594,The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  ,1
595,"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  ",1
596,The characters were all funny and had the peculiarity of not having a true lead character.  ,1
597,Every single character was hilarious and deserved to be called a lead.  ,1
600,Perabo has a nice energy level and is obviously very comfortable in front of a camera.  ,1
611,I believe that Pitch Black was done well.  ,1
612,"The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  ",1
613,Go watch it!  ,1
615,VERY funny!  ,1
617,The characters are interesting and you really care for them.  ,1
618,"An instant classic, with a great soundtrack and a catchy song during the ending credits.  ",1
619,Don't miss it.  ,1
620,"This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.  ",1
621,"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  ",1
622,"But above all the exquisite visual composition of each moment, with inventive and elegant use of close-up, camera angle and lighting, including pointillistic faux home movie footage, is a wonder and joy to behold.  ",1
623,"It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.  ",1
627,"I saw this film over Christmas, and what a great film it was!  ",1
628,I thought Errol Flynn was brilliant as Custer and has since become my favourite actor!  ,1
629,His acting alongside Olivia De Havilland was brilliant and the ending was fantastic!  ,1
630,"I had always known that Errol Flynn was a brilliant actor as he was my dads favourite actor, and I grew up watching his films as a child.  ",1
631,But it wasn't until I watched this film that I realised how great he actually was.  ,1
632,I'll give this film 10 out of 10!  ,1
635,"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  ",1
636,"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  ",1
637,Nevertheless yet another wonderful film from the great master's stable.  ,1
638,I have to say that this film was excellently produced and tops the ratings as a typical sci fi film!  ,1
639,Excellently produced by one of Sci-fi's best producers Scot Vandiver !  ,1
640,"But it is entertaining, nonetheless.  ",1
641,It's a campy sort of film that's a joy to watch.  ,1
642,There's barely a boring moment in the film and there are plenty of humorous parts.  ,1
643,The cast is always entertaining as usual.  ,1
644,"Overall, a delight!  ",1
648,This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.  ,1
649,I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.  ,1
650,Nothing short of magnificent photography/cinematography in this film.  ,1
651,"The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid............. A must rent, view, or see.  ",1
652,Don't be afraid of subtitles........ its worth a little aversion therapy 10/10  ,1
653,Excellent performance.  ,1
654,There still are good actors around!  ,1
655,Also great directing and photography.  ,1
656,"Very true to Shakespear, and a 'must' for all Shakespear fans.  ",1
657,"Macbeth (Jason Connery) moved me to tears with his final monolog (out brief candle, out)He gave the sphere of moral decay and dark forces a human face, which makes it the more interesting.  ",1
658,"Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.  ",1
659,"If you love death and decay, and Shakespears lyrics... this is the one.  ",1
660,"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.  ",1
661,"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.  ",1
662,"However Paul Schrader has indeed made a film ""about"" Mishima that is both superb & complex.  ",1
663,Also notable is John Bailey's fine crisp beautifully colored cinematography and the great production design & costumes by Eiko Ishioka who went on to do the memorable costumes for Coppola's Dracula for which she received a well deserved Oscar.  ,1
666,"If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.  ",1
670,This is a stunning movie.  ,1
671,Raw and sublimely moving.  ,1
672,"It felt like a very gripping, intelligent stage play (but without the overly theatrical feeling one actually gets from watching people on a stage) which plays on everyone's terror of a white lie escalating to monstrous consequences.  ",1
673,All of the main players are mesmerising.  ,1
674,Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.  ,1
675,Julian Fellowes has triumphed again.  ,1
676,He's a national treasure.  ,1
677,GO AND SEE IT!  ,1
678,This is an excellent film.  ,1
679,The aerial scenes were well-done.  ,1
680,It was also the right balance of war and love.  ,1
681,"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  ",1
682,Kris Kristoffersen is good in this movie and really makes a difference.  ,1
683,A good film by a great director!  ,1
684,This is definitely one of the better documentaries I have seen looking at family relationships and marriage.  ,1
686,This is just a great movie.  ,1
687,10 out of 10 stars.  ,1
690,Punishment Park is a brilliant piece of cinema.  ,1
691,"Shot in the Southern California desert using his patent faux documentary style, Watkins creates a film like no other.  ",1
692,This is one of Peter Watkins most accessible films.  ,1
693,I advise you to look out for it.  ,1
694,You wont regret it!  ,1
695,Highly recommended A+  ,1
712,"Stanwyck and Morgan are perfectly cast in what is, in many ways, a modern equivalent of Dickens' Christmas Carol in its sensibility.  ",1
713,The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.  ,1
714,The attractive set used throughout most of the film is an eye-pleasing gem.  ,1
727,The transfers are very good.  ,1
728,Very nice and relaxing late night viewing.  ,1
729,The movie is full of wonderful dancing (hence the title!  ,1
730,") some great music, and terrific scenery.  ",1
731,"It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!  ",1
732,") a happy, wonderful, feel good ending!  ",1
733,"The point is the journey, a journey that touches every member of the family.  ",1
734,It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,1
740,I just saw this film and I recommend it.  ,1
741,"It has a very good plot, it holds your complete attention, the acting is superb, Tom Wilkinson was fantastic and Emily Watson was also very good.  ",1
742,"A very good film indeed, about great and unconditional love.  ",1
743,"Tom Wilkinson's character is a man who is not prepared for the ordeal that is about to begin, but he takes the matter in hand as the story progresses, and this great actor gives a performance that makes you feel the character's anguish and suffering.  ",1
744,"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  ",1
745,"Despite the pans of reviewers, I liked this movie.  ",1
746,"In fact, I liked it better than Interview With a Vampire and I liked this Lestat (Stuart Townsend) better than Cruise's attempt.  ",1
747,"Aailiyah was pretty good as Akasha, in places compelling (her first entrance and mini dance scene).  ",1
748,"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  ",1
749,I guess I liked the details of his dysfunction--he was believable.  ,1
751,But I thought his acting was skilled.  ,1
752,Meredith M was better than all right.  ,1
753,A very charming film with wonderful sentiment and heart.  ,1
754,It is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.  ,1
755,Nine out of ten for a truly lovely film.  ,1
756,This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.  ,1
757,This is one of the best Italian thrillers of the early 70's.  ,1
758,A standout scene.  ,1
760,"Technically, the film is well made with impressive camera-work, solid acting and effective music from Riz Ortolani  particularly good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.  ",1
761,It's still wild stuff though and is highly recommended to fans of giallo cinema.  ,1
762,The movie was very interesting from beginning to the end.  ,1
763,I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  ,1
764,This movie is also revealing.  ,1
765,"Personally, I think it shows that people should learn to find a compromise them self without involving other people into issue.  ",1
768,PS the only scene in the movie that was cool is when the central character finds her room blown up.  ,1
769,"It's a fresh, subtle, and rather sublime effect.  ",1
770,"An Italian reviewer called this ""a small, great film,"" and that's right.  ",1
771,"All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star.  ",1
772,"You learn a lot about the real inside emotions of people in this movie, and a lot about the movie business itself.  ",1
773,"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  ",1
774,Also the music by Mark Snow is possibly the best score I've ever heard.  ,1
775,You won't forget this movie!  ,1
782,"I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I loved it.  ",1
783,But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he has crashed in the USSR.  ,1
784,This movie is so awesome!  ,1
785,"I loved it, it was really scary.  ",1
786,I love the Scream movies and all horror movies and this one ranks way up there.  ,1
787,If you want a real scare rent this one!  ,1
788,10/10  ,1
789,This is an extraordinary film.  ,1
790,"As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.  ",1
791,"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  ",1
792,"The film is well paced, understated and one of the best courtroom documentaries I've seen.  ",1
793,This mostly routine fact-based TV drama gets a boost from the fine performance by Cole.  ,1
794,"Predictable, but not a bad watch.  ",1
795,It was clear that she had the range and ability to pull off this part.  ,1
796,She carries the movie well.  ,1
797,Constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations.  ,1
798,"It is wonderful and inspiring to watch, and I hope that it gets released again on to video or DVD.  ",1
807,Editing: The editing of this film was phenomenal in my opinion.  ,1
808,"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  ",1
809,Cinematography: The film was shot in an interesting way.  ,1
810,"Of course the footage from the 70s was grainy, but that only enhanced the film.  ",1
811,This film offers many delights and surprises.  ,1
812,"When Achille and Philippa beautifully sing a duet from ""Don Giovanni"" that perfectly describes their situation in the movie, you appreciate the subtle layers of this excellent film.  ",1
813,The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch.  ,1
814,You share General Loewenhielm's exquisite joy in his partaking of the Cailles en Sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.  ,1
815,But this understated film leaves a lasting impression.  ,1
816,The warmth it generates is in contrast to its austere backdrop.  ,1
817,You will leave the theater wanting to go out and dance under the stars.  ,1
818,"The acting, as you'd expect from this cast, is top notch.  ",1
819,"The characters are fleshed out surprisingly well, particularly Grimes and Blake, and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic.  ",1
820,"Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist Doctor Quinn.  ",1
821,Conclusion - I loved it.  ,1
