,text,sentiment,clean_message
53,"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  ",0,on the neg it insipid enough to caus regret for anoth 2 hour of life wast in front of the screen
54,"Long, whiny and pointless.  ",0,long whini and pointless
55,"But I recommend waiting for their future efforts, let this one go.  ",0,but i recommend wait for their futur effort let thi one go
64,I was very disappointed in the movie.  ,0,i be veri disappoint in the movi
65,One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  ,0,one charact be total annoy with a voic that give me the feel of fingernail on a chalkboard
66,There is a totally unnecessary train/roller coaster scene.  ,0,there be a total unnecessari trainrol coaster scene
67,There was absolutely no warmth or charm to these scenes or characters.  ,0,there be absolut no warmth or charm to these scene or charact
68,This movie totally grates on my nerves.  ,0,thi movi total grate on my nerv
69,"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  ",0,the perform be not improv by improvis becaus the actor now have twice as much to worri about not onli whether theyr deliv the line well but whether the line itself be ani good
70,"And, quite honestly, often its not very good.  ",0,and quit honestli often it not veri good
71,"Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  ",0,often the dialogu doesnt realli follow from one line to anoth or fit the surround
72,"It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  ",0,it crackl with an unpredict youth energi but honestli i find it hard to follow and concentr on it meander so badli
74,"I wouldn't say they're worth 2 hours of your time, though.  ",0,i wouldnt say theyr worth 2 hour of your time though
80,"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.  ",0,im glad thi pretenti piec of s didnt do a plan by the dodg stratu big shot it gon na help movi maker who arent in the veri restrain movi busi of québec
91,The problem was the script.  ,0,the problem be the script
92,It was horrendous.  ,0,it be horrend
93,There was NOTHING believable about it at all.  ,0,there be noth believ about it at all
94,The only suspense I was feeling was the frustration at just how retarded the girls were.  ,0,the onli suspens i be feel be the frustrat at just how retard the girl be
101,"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",0,frankli after cotton club and unfaith it be kind of embarrass to watch lane and gere in thi film becaus it be bad
102,"The acting was bad, the dialogs were extremely shallow and insincere.  ",0,the act be bad the dialog be extrem shallow and insincer
103,"It was too predictable, even for a chick flick.  ",0,it be too predict even for a chick flick
104,Too politically correct.  ,0,too polit correct
105,Very disappointing.  ,0,veri disappoint
107,"I love Lane, but I've never seen her in a movie this lousy.  ",0,i love lane but ive never see her in a movi thi lousi
108,An hour and a half I wish I could bring back.  ,0,an hour and a half i wish i could bring back
111,The directing and the cinematography aren't quite as good.  ,0,the direct and the cinematographi arent quit as good
112,"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",0,the movi be so bore that i sometim find myself occupi peak in the paper instead of watch never happen dure a columbo movi befor
113,"), and sometimes it was so embarrassing that I had to look away.  ",0,and sometim it be so embarrass that i have to look away
114,The directing seems too pretentious.  ,0,the direct seem too pretenti
115,"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0,the scene with the ohsomatur neighbourgirl be a misplac
116,And generally the lines and plot is weaker than the average episode.  ,0,and gener the line and plot be weak than the averag episod
117,"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",0,then scene where they debat whether or not to sack the trumpet who fals be accus for the murder be pure horror realli stupid
127,My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,0,my onli problem be i think the actor play the villain be a low rent michael ironsid
129,"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0,howev thi didnt make up for the fact that overal thi be a tremend bore movi
130,"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",0,there be no chemistri between ben affleck and sandra bullock in thi film and i couldnt understand whi he would consid even leav hi wifetob for thi chick that he supposedli be knock out by
131,There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,0,there be sever moment in the movi that just didnt need to be there and be excruciatingli slow move
132,"This was a poor remake of ""My Best Friends Wedding"".  ",0,thi be a poor remak of my best friend wed
133,"All in all, a great disappointment.  ",0,all in all a great disappoint
134,"I cannot believe that the actors agreed to do this ""film"".  ",0,i can not believ that the actor agre to do thi film
135,I could not stand to even watch it for very long for fear of losing I.Q.  ,0,i could not stand to even watch it for veri long for fear of lose iq
136,I guess that nobody at the network that aired this dribble watched it before putting it on.  ,0,i guess that nobodi at the network that air thi dribbl watch it befor put it on
137,"IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  ",0,imdb rate onli go as low 1 for aw it time to get some neg number in there for case such a these
138,"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",0,i saw mirrormask last night and it be an unsatisfactori experi
139,"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",0,unfortun inexperi of direct meant that scene after scene pass with littl in the way of dramat tension or conflict
140,"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",0,these be the central theme of the film and they be handl ineptli stereotyp and with no depth of imagin
141,All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,0,all the pretti pictur in the world can not make up for a piec of work that be flaw at the core
142,"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",0,it be an hour and half wast of time follow a bunch of veri pretti high schooler whine and cri about life
143,"You can't relate with them, hell you barely can understand them.  ",0,you cant relat with them hell you bare can understand them
145,"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",0,thi movi be a pure disast the stori be stupid and the edit be the bad i have see it confus you incred
146,The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,0,the fish be badli make and some of it underwat shot be repeat a thousand time in the film
147,"A truly, truly bad film.  ",0,a truli truli bad film
148,"The acting is terrible, and the writing is worse.  ",0,the act be terribl and the write be bad
149,The only possible way this movie could be redeemed would be as MST3K fodder.  ,0,the onli possibl way thi movi could be redeem would be a mst3k fodder
150,I paid too much.  ,0,i pay too much
152,It was so BORING!  ,0,it be so bore
153,No plot whatsoever!  ,0,no plot whatsoev
154,"Again, no plot at all.  ",0,again no plot at all
155,Horrible!  ,0,horribl
156,Worst hour and a half of my life!Oh my gosh!  ,0,worst hour and a half of my lifeoh my gosh
157,I had to walk out of the theatre for a few minutes just to get some relief!  ,0,i have to walk out of the theatr for a few minut just to get some relief
158,I hate movies like that.  ,0,i hate movi like that
159,"Yeah, the movie pretty much sucked.  ",0,yeah the movi pretti much suck
160,THERE IS NO PLOT OR STORYLINE!!  ,0,there be no plot or storylin
161,"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",0,if you do go see thi movi bring a pillow or a girlfriendboyfriend to keep you occupi through out
162,Awful.  ,0,aw
163,I don't think I've ever gone to a movie and disliked it as much.  ,0,i dont think ive ever go to a movi and dislik it a much
164,It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,0,it be a good thing that the ticket onli cost five dollar becaus i would be mad if id have pay 750 to see thi crap
165,NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,0,nobodi identifi with these charact becaus theyr all cardboard cutout and stereotyp or predict reversestereotyp
166,"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",0,thi be a bad film with bad write and good actorsan ugli cartoon craft by paul haggi for peopl who cant handl anyth but the bold stroke in storytellinga pictur paint with crayon
167,"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",0,crash be a depress littl noth that provok emot but teach you noth if you alreadi know racism and prejudic be bad thing
169,Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,0,your brain will attempt to shutdown a part of a primal impuls of selfpreserv
170,I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,0,i be leav shatter from the experi of watch thi film and i take a good two hour to fulli recov
171,This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,0,thi movi now join reveng of the boogeyman and zombiez a part of the hellish triniti of horror film
172,I certainly do not mean this distinction in a good way.  ,0,i certainli do not mean thi distinct in a good way
173,I mean this in a terrible way.  ,0,i mean thi in a terribl way
174,This film has no redeeming features.  ,0,thi film have no redeem featur
175,Everything is appalling.  ,0,everyth be appal
176,"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",0,artless camerawork endlessli present u with the ugli set imagin ie
177,The story is beyond stupid.  ,0,the stori be beyond stupid
178,The script iswas there a script?  ,0,the script be be there a script
179,The kids are annoying.  ,0,the kid be annoy
180,The lead man is charisma-free.  ,0,the lead man be charismafre
181,"Utterly without merit on any level, this is akin to torture.  ",0,utterli without merit on ani level thi be akin to tortur
182,I'll even say it again  this is torture.  ,0,ill even say it again thi be tortur
183,Maybe there would be a reasonable explanation for this atrocity.  ,0,mayb there would be a reason explan for thi atroc
184,Not a pleasant voyage of self-discovery.  ,0,not a pleasant voyag of selfdiscoveri
185,Highly unrecommended.  ,0,highli unrecommend
186,"If this premise sound stupid, that's because it is.  ",0,if thi premis sound stupid that becaus it be
187,"Yes, it's that bad.  ",0,ye it that bad
188,Nothing at all to recommend.  ,0,noth at all to recommend
192,"This movie suffered because of the writing, it needed more suspense.  ",0,thi movi suffer becaus of the write it need more suspens
193,There were too many close ups.  ,0,there be too mani close up
194,But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,0,but other than that the movi seem to drag and the hero didnt realli work for their freedom
195,But this movie is definitely a below average rent.  ,0,but thi movi be definit a below averag rent
197,This movie is BAD.  ,0,thi movi be bad
198,So bad.  ,0,so bad
199,The film is way too long.  ,0,the film be way too long
200,This is definitely one of the bad ones.  ,0,thi be definit one of the bad one
205,I really don't see how anyone could enjoy this movie.  ,0,i realli dont see how anyon could enjoy thi movi
206,I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  ,0,i dont think ive ever see a movi half as bore a thi selfindulg piec of junk
207,"It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  ",0,it probabl would have be good if the director hadnt spent most of the movi showcas hi own art work which realli isnt that noteworthi
208,"Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  ",0,anoth thing i didnt realli like be when a charact get punch in the face a gallon of blood would spew forth soon after
216,Ironically I mostly find his films a total waste of time to watch.  ,0,iron i mostli find hi film a total wast of time to watch
218,It's this pandering to the audience that sabotages most of his films.  ,0,it thi pander to the audienc that sabotag most of hi film
219,Hence the whole story lacks a certain energy.  ,0,henc the whole stori lack a certain energi
220,"The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.  ",0,the plot simpli rumbl on like a machin desper depend on the addit of new scene
221,There are the usual Hitchcock logic flaws.  ,0,there be the usual hitchcock logic flaw
222,Mishima is extremely uninteresting.  ,0,mishima be extrem uninterest
223,"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  ",0,thi be a chilli unremark movi about an author livingwork in a chilli abstrus cultur
224,The flat reenactments don't hold your attention because they are emotionally adrift and stagy.  ,0,the flat reenact dont hold your attent becaus they be emot adrift and stagi
225,"And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  ",0,and the rest of it just sit there be aw with soldier sing song about the masculin they pledg themselv to hairsplit about puriti the admir of sword etc
226,"He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  ",0,he can bore you to piec and kill the momentum of a movi quicker than anyon els
227,"Schrader has made a resume full of lousy, amateurish films.  ",0,schrader have make a resum full of lousi amateurish film
230,"However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  ",0,howev i recent watch the whole thing again on dvd and i be complet strike by how extrem stupid the storylin be how it contain hole inconsist and frankli a whole lot of crap and how horrid the danc be
231,"I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  ",0,i mean in a realist world she would never have get into that ballet repertori the whole thing be quit pathet
232,The character developments also lacked in depth.  ,0,the charact develop also lack in depth
233,"Woa, talk about awful.  ",0,woa talk about aw
234,Do not waste your time.  ,0,do not wast your time
235,It was just too horrible.  ,0,it be just too horribl
236,"The worst, sappiest dialogue... I could go on and on.  ",0,the bad sappi dialogu i could go on and on
237,But what really made it unwatchable was the direction.  ,0,but what realli make it unwatch be the direct
238,The poor actors.  ,0,the poor actor
239,You can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.  ,0,you cant even tell if they have ani talent becaus they not onli have pathet line to speak but the director give them no action
240,If you check the director's filmography on this site you will see why this film didn't have a chance.  ,0,if you check the director filmographi on thi site you will see whi thi film didnt have a chanc
241,This would not even be good as a made for TV flick.  ,0,thi would not even be good a a made for tv flick
244,"Regrettably, the film fails.  ",0,regrett the film fail
245,"The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  ",0,the movi lack visual interest drama express of feel and celebr of the veri patriot that underlin the narr
246,No actress has been worse used that June Allison in this movie.  ,0,no actress have be bad use that june allison in thi movi
248,"Unfortunately, this is a bad movie that is just plain bad.  ",0,unfortun thi be a bad movi that be just plain bad
249,"Bad script, bad direction and horrible acting make this one plain bad!  ",0,bad script bad direct and horribl act make thi one plain bad
250,The dialogue sucked.  ,0,the dialogu suck
251,The cinematography-if it can be called that-sucked.  ,0,the cinematographyif it can be call thatsuck
252,The soundtrack sucked.  ,0,the soundtrack suck
253,The acting sucked.  ,0,the act suck
254,The concert sequences just sucked.  ,0,the concert sequenc just suck
258,"Overall, this movie was cheap trash.  ",0,overal thi movi be cheap trash
259,"But this movie is not funny, considering the ridiculousness of it.  ",0,but thi movi be not funni consid the ridicul of it
260,I came out of it feeling angry.  ,0,i come out of it feel angri
277,I'm not sure what he was trying to do with this film.  ,0,im not sure what he be tri to do with thi film
278,If it was to turn my good day feeling into a night of disturbing memories than I guess he succeeded.  ,0,if it be to turn my good day feel into a night of disturb memori than i guess he succeed
280,"It was forced, like everything in this movie.  ",0,it be forc like everyth in thi movi
281,"Again, lame.  ",0,again lame
282,Here's where the movie really pi**ed me off.  ,0,here where the movi realli pie me off
283,And don't even get me started on the jerky camerawork.  ,0,and dont even get me start on the jerki camerawork
284,When I saw it in the theater I thought I was going to be sick.  ,0,when i saw it in the theater i think i be go to be sick
285,Summary: The witticisms weren't witty.  ,0,summari the wittic werent witti
286,"The plot - well, I said I'd let that one go.  ",0,the plot well i say id let that one go
287,The acting was bad.  ,0,the act be bad
288,Really bad.  ,0,realli bad
289,"Even Billy Bob couldn't rise above the script, which was worse.  ",0,even billi bob couldnt rise abov the script which be bad
290,"Camerawork - again, bad.  ",0,camerawork again bad
291,Rating: 1 out of 10.  ,0,rate 1 out of 10
302,I literally vomited while watching this film.  ,0,i liter vomit while watch thi film
308,I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  ,0,im translat movi for a live and thi be the first movi in my 5year work experi that i find offens to my intellig
309,"But when someone strives for greatness and poetry, but delivers a muddled (and often ridiculous) story, a bunch of disparate scenes, pretentious dialogue... Then you get the worst kind of a movie that some other reviewer very accurately defined as ""pretentious crap"".  ",0,but when someon strive for great and poetri but deliv a muddl and often ridicul stori a bunch of dispar scene pretenti dialogu then you get the bad kind of a movi that some other review veri accur defin a pretenti crap
310,"To those who find this movie intelligent or even masterful, I can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .  ",0,to those who find thi movi intellig or even master i can onli say it your intellig and your imagin you obvious use to tri and make some sens of thi piti attempt it in our human natur to tri and make sens of thing
311,"One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.  ",0,one more thing i can toler polit incorrect veri well im all for artist freedom and suspens of disbelief but the slavic femal charact be just too much
327,Which has more depth and character than the man underneath it.  ,0,which have more depth and charact than the man underneath it
328,The Malta settings are as dry and as barren as the dialogue.  ,0,the malta set be a dri and as barren a the dialogu
329,This movie is terrible.  ,0,thi movi be terribl
330,"The hockey scenes are terrible, defensemen playing like they're 5 years old, goalies diving at shots that are 10 feet wide of the net, etc.  ",0,the hockey scene be terribl defensemen play like theyr 5 year old goali dive at shot that be 10 foot wide of the net etc
331,"For those that haven't seen it, don't waste your time!  ",0,for those that havent see it dont wast your time
332,To call this movie a drama is ridiculous!  ,0,to call thi movi a drama be ridicul
333,Started watching this but didn't believe in any of the characters.  ,0,start watch thi but didnt believ in ani of the charact
334,In particular the relationship between the bakery assistant and the waitress just didn't work for me at all.  ,0,in particular the relationship between the bakeri assist and the waitress just didnt work for me at all
335,It was a very superficial movie and it gave me the feeling that I was watching play rather than a film.  ,0,it be a veri superfici movi and it give me the feel that i be watch play rather than a film
336,The characters were very 'stagey' and the storyline was a lot like a stage farce.  ,0,the charact be veri stagey and the storylin be a lot like a stage farc
337,By the time the pyromaniac waylaid the assistant I was bored and didn't care what happened next and so I switched off.  ,0,by the time the pyromaniac waylay the assist i be bore and didnt care what happen next and so i switch off
338,Glad I didn't pay to see it.  ,0,glad i didnt pay to see it
339,Didn't laugh or even smile once.  ,0,didnt laugh or even smile onc
340,But it wasn't anything at all just one big yawn...  ,0,but it wasnt anyth at all just one big yawn
347,"But ""Storm Trooper"" is not even bad enough to make it to the list of wonderfully terrible movies.  ",0,but storm trooper be not even bad enough to make it to the list of wonder terribl movi
348,It's just lame.  ,0,it just lame
349,The guy who said he's had better dialogue with his potted plants has it right.  ,0,the guy who say he have well dialogu with hi pot plant have it right
350,Everything about this movie is stupid.  ,0,everyth about thi movi be stupid
351,"Even if you love bad movies, do not watch this movie.  ",0,even if you love bad movi do not watch thi movi
352,It is shameful.  ,0,it be shame
367,"The new characters weren't all that memorable, and I found myself forgetting who was who.  ",0,the new charact werent all that memor and i find myself forget who be who
368,I felt as though her going to Ireland did absolutely nothing whatsoever.  ,0,i felt a though her go to ireland do absolut noth whatsoev
369,"It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying.  ",0,it didnt make me scare horrifi or make me sympathet toward the charact it be simpli annoy
370,The jerky camera movements were also annoying.  ,0,the jerki camera movement be also annoy
371,The plot was the same as pretty much every other cheap horror.  ,0,the plot be the same a pretti much everi other cheap horror
372,"There was a few pathetic attempts to give the characters some depth, but it didn't really work into the rest of the plot.  ",0,there be a few pathet attempt to give the charact some depth but it didnt realli work into the rest of the plot
373,"I guess it was supposed to be clever twist, then shed some light on the situation, but it was just stupid.  ",0,i guess it be suppos to be clever twist then shed some light on the situat but it be just stupid
374,"If you see it, you should probably just leave it on the shelf.  ",0,if you see it you should probabl just leav it on the shelf
378,This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!  ,0,thi total unfunni movi be so over the top and pathet and unrealist that throughout the whole 90 minut of utter tortur i probabl look at my watch about 70000 time
379,Lucy Bell is so much higher than this crap and for her to sink this low is quite depressing.  ,0,luci bell be so much high than thi crap and for her to sink thi low be quit depress
380,All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.  ,0,all thi movi do be make you sick watch all these slacker make excus for their stupid action for 90 minut
381,"God, and I can never get that 90 minutes back!  ",0,god and i can never get that 90 minut back
395,Almost all of the songs in Cover Girl are old-fashioned and not very tuneful.  ,0,almost all of the song in cover girl be oldfashion and not veri tune
396,The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal.  ,0,the most annoy thing about cover girl be the way in which rita hayworth be put up on a pedest
397,"Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.  ",0,unfortun cover girl be an exampl of how hollywood use to exploit woman for financi gain
407,I couldn't take them seriously.  ,0,i couldnt take them serious
416,I am a fan of his ... This movie sucked really bad.  ,0,i be a fan of hi thi movi suck realli bad
417,Even worse than Ticker!  ,0,even bad than ticker
418,& That movie was bad.  ,0,that movi be bad
419,"Only like 3 or 4 buildings used, a couple of locations MAYBE, & poor hummh!  ",0,onli like 3 or 4 build use a coupl of locat mayb poor hummh
420,It just blew.  ,0,it just blow
423,Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.  ,0,now we be choos to be tortur with thi disgust piec of blatant american propaganda
424,This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.  ,0,thi show be make for american it be too stupid and full with hatr and cliché to be admit elsewher
425,"Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.  ",0,almost everyon involv must be return to school act be utterli predict and bad script be pile of garbag all round
426,"I wish I could enter negative values, admins?  ",0,i wish i could enter neg valu admin
427,"The sets are so bad, they wouldn't look out of place on a Thunderbirds episode.  ",0,the set be so bad they wouldnt look out of place on a thunderbird episod
428,"The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.  ",0,the use of slowmot needlessli repeat itself throughout the movi but be well back up by bad act and bad be a kind word here no continu scene that be throw in for no reason whatsoev vehicl that look like they be make from a corn flake box and a directori style that border on stupid
429,"Oh yeah, and the storyline was pathetic too.  ",0,oh yeah and the storylin be pathet too
430,I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.  ,0,i hate write bad review about film especi those in which i realli like the star but thi film be so bad i dont believ for one second that anyon could have be proud of it
431,I am not a filmmaker nor am I a director but I would hide my head in the sand if I'd spent whatever amount of money and time on this movie.  ,0,i be not a filmmak nor be i a director but i would hide my head in the sand if id spend whatev amount of money and time on thi movi
432,In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.  ,0,in short thi be a monument wast of time and energi and i would not recommend anyon to ever see thi film
433,It came free with a DVD player I bought but I still turned the thing off halfway through because I was embarrassed for Howell.  ,0,it come free with a dvd player i buy but i still turn the thing off halfway through becaus i be embarrass for howel
434,1/10 - and only because there is no setting for 0/10.  ,0,110 and onli becaus there be no set for 010
437,"But the acting--even that of such professionals as Drago and Debbie Rochon--was terrible, the directing worse (perhaps contributory to the former), the dialog chimp-like, and the camera work, barely tolerable.  ",0,but the actingeven that of such profession a drago and debbi rochonwa terribl the direct bad perhap contributori to the former the dialog chimplik and the camera work bare toler
439,"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.  ",0,ye i be simplifi thing here for the sake of breviti for thi realli be at the core of the problem with thi film it have too much go on without ani real fulfil explan
441,"But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.  ",0,but the convolut plot just didnt convinc me and much of the film be watch with a weird question glanc
442,"I let my girlfriend talk me into seeing this - bad idea, we both hated it.  ",0,i let my girlfriend talk me into see thi bad idea we both hat it
444,"Bela Lugosi was totally extraneous, intoning odd lines.  ",0,bela lugosi be total extran inton odd line
445,"The acting was decidely wooden, though no worse than a period Universal B movie.  ",0,the act be decid wooden though no bad than a period univers b movi
450,"Wow, what a bad film.  ",0,wow what a bad film
451,"Not frightening in the least, and barely comprehensible.  ",0,not frighten in the least and bare comprehens
452,"The plot doesn't hang together at all, and the acting is absolutely appalling.  ",0,the plot doesnt hang togeth at all and the act be absolut appal
453,Not even good for camp value!  ,0,not even good for camp valu
454,"I wasn't expecting Oscar material, but this?  ",0,i wasnt expect oscar materi but thi
455,You'd have to have the IQ of particularly stupid mollusk not to see that one coming.  ,0,youd have to have the iq of particularli stupid mollusk not to see that one come
456,This film (and I use that word loosely) is an insult to the movie-going public.  ,0,thi film and i use that word loos be an insult to the moviego public
457,If only someone involved with it knew how to string together narrative!  ,0,if onli someon involv with it know how to string togeth narr
458,"This gets a 1 out of 10, simply because there's nothing lower.  ",0,thi get a 1 out of 10 simpli becaus there noth low
459,"This is one I did not have, but I watched it recently on Fox Movie Channel, and was very disappointed.  ",0,thi be one i do not have but i watch it recent on fox movi channel and be veri disappoint
460,"I know he was a contract player with little control over his scripts, but the acting was as bad as the script.  ",0,i know he be a contract player with littl control over hi script but the act be as bad a the script
461,"Victor McLaglen was even bad, and Brian DonLevy was almost unrecognizable.  ",0,victor mclaglen be even bad and brian donlevi be almost unrecogniz
462,"Considering the relations off screen between Taylor and Stanwyck, it was surprising how little chemistry there was on screen between the two of them.  ",0,consid the relat off screen between taylor and stanwyck it be surpris how littl chemistri there be on screen between the two of them
463,But the premise of the film was so ridiculous: that the President of the U.S.  ,0,but the premis of the film be so ridicul that the presid of the u
464,The death row scenes were entirely unmoving.  ,0,the death row scene be entir unmov
465,The only thing worse than Taylor's acting was Stanwyck's singing.  ,0,the onli thing bad than taylor act be stanwyck sing
466,"Whatever the producer was going for, he missed entirely.  ",0,whatev the produc be go for he miss entir
